id,date,abstract
10.1103/PhysRevD.73.057303,2006-03-24,We study the possibility to explain the nonbaryonic dark matter abundance and improve the present fits on the muon anomalous magnetic moment through the same new physics In this work we show that massive brane fluctuations branons in large extra dimensions models can provide an economical way to deal with these two issues This is so because the low energy branon physics depends effectively on essentially only three parameters Next collider experiments such as LHC or ILC will be sensitive to branon phenomenology in the natural parameter region where the theory is able to account for the two effects
10.1103/PhysRevA.73.043802,2006-04-05,We analytically study the linear propagation of arbitrarily shaped light pulses through an absorbing medium with a narrow transparency window or through a resonant amplifying medium We point out that under certain general conditions the pulse acquires a nearly Gaussian shape irrespective of its initial shape and of the spectral profile of the line We explicitly derive in this case the pulse parameters including its skewness responsible for a deviation of the delay of the pulse maximum from the group delay We illustrate our general results by analyzing the slow light experiments having demonstrated the largest fractional pulse delays
10.1103/PhysRevD.73.083515,2006-04-12,The effects of mass varying neutrinos on cosmic microwave background CMB anisotropies and large scale structures LSS are studied In these models dark energy and neutrinos are coupled such that the neutrino masses are functions of the scalar field playing the role of dark energy We begin by describing the cosmological background evolution of such a system It is pointed out that similar to models with a dark matter dark energy interaction the apparent equation of state measured with SNIa can be smaller than We then discuss the effect of mass varying neutrinos on the CMB anisotropies and the matter power spectrum A suppression of power in the CMB power spectrum at large angular scales is usually observed We give an explanation for this behavior and discuss different couplings and quintessence potentials to show the generality of the results obtained We perform a likelihood analysis using wide ranging SNIa CMB and LSS observations to assess whether such theories are viable Treating the neutrino mass as a free parameter we find that the constraints on the coupling are weak since CMB and LSS surveys give only upper bounds on the neutrino mass However fixing a priori the neutrino masses we find that there is some evidence that the existence of such a coupling is actually preferred by current cosmological data over the standard CDM cosmology
10.1103/PhysRevA.74.013611,2006-07-14,We present a three dimensional quantum mechanical theory of radio frequency outcoupled atom lasers from trapped atomic gases in the presence of the gravitational force Predictions for the total outcoupling rate as a function of the radio frequency and for the beam wave function are given We establish a sum rule for the energy integrated outcoupling which leads to a separate determination of the coupling strength between the atoms and radiation field For a noninteracting Bose Einstein condensate analytic solutions are derived which are subsequently extended to include the effects of atomic interactions The interactions enhance interference effects in the beam profile and modify the outcoupling rate of the atom laser We provide a complete quantum mechanical solution which is in line with experimental findings and allows us to determine the validity of commonly used approximative methods We also extend the formalism to a fermionic atom laser and analyze the effect of superfluidity on the outcoupling of atoms
10.1103/PhysRevB.74.052405,2006-08-24,The effects of pressure on the nickel hydrides Ni H x with different hydrogen concentrations x and have been extensively studied using the ab initio pseudopotential plane wave method A pressure induced ferromagnetic FM to paramagnetic PM phase transition has been predicted The hydrogen concentration pressure phase diagram up to several megabar has been obtained The transition pressure from FM to PM decreases with increasing hydrogen concentration It is found that the electron transfers from p and s to d inside each Ni atom and from p and s of Ni atoms to H s are the main causes of the hydrogen doping induced magnetic transition while the electron transfers from the nearest neighbor Ni p to H s the nearest neighbor Ni p to the further Ni s and from p to s and d inside each Ni atom mainly contribute to the pressure induced magnetic transition
10.1103/PhysRevB.74.115202,2006-09-11,We investigate the influence of poly ethylenedioxythiophene poly styrenesulfonate PEDOT PSS on the optoelectronic properties of polymer light emitting diodes containing poly dioctylfluorene PFO Electromodulation and I V luminance measurements are reported for a series of devices with bare indium tin oxide ITO or PEDOT PSS coated ITO anodes and Ba or Al cathodes The ITO PFO Al ITO PFO Ba and ITO PEDOT PSS PFO Al devices all exhibit conventional field induced electromodulation behavior in both forward and reverse bias consistent with the Stark effect SE The ITO PEDOT PSS PFO Ba devices by contrast exhibit conventional behavior only for applied biases below the flat band voltage at higher biases the field induced SE features vanish and are replaced by anomalous charge induced electromodulation features This anomalous behavior is observed only when PEDOT PSS is used in conjunction with a strongly electron injecting cathode such as Ba and is attributed to the presence of trapped electrons at the PEDOT PSS emitter interface which screen the electric field from the bulk of the device The enhanced field at the interface increases the rate of field assisted hole injection into the highest occupied molecular orbital HOMO of the PFO resulting in lower drive voltages and increased electroluminescence efficiencies
10.1103/PhysRevB.74.104303,2006-09-21,Symmetry considerations are used in presenting a model of the electronic structure and the associated dynamics of the nitrogen vacancy center in diamond The model accounts for the occurrence of optically induced spin polarization for the change of emission level with spin polarization and for new experimental measurements of transient emission The rate constants given are in variance to those reported previously
10.1103/PhysRevC.74.044901,2006-10-04,An overwhelming fraction of photons from relativistic heavy ion collisions has its origin in the decay of and mesons We calculate the azimuthal asymmetry of the decay photons for several azimuthally asymmetric pion distributions We find that the k T dependence of the elliptic flow parameter v for the decay photons closely follows the elliptic flow parameter v evaluated at p T k T where GeV for typical pion distributions measured in nucleus nucleus collisions at relativistic energies Similar results are obtained for photons from the decay of mesons Assuming that the flow of is similar to those for and for which independent measurements would be generally available this ansatz can help in identifying additional sources for photons Taken along with quark number scaling suggested by the recombination model it may help to estimate v of the parton distributions in terms of azimuthal asymmetry of the decay photons at large k T
10.1103/PhysRevB.74.184301,2006-11-01,We have studied the vibrational properties of Cu Al O by means of Raman scattering in ambient conditions at low temperature and also at high pressure Results are discussed in the framework of an ab initio calculation Raman active modes have wave numbers E g cm and A g cm Polarized measurements with single crystals have confirmed their symmetry We present and discuss the phonon dispersion curves Below K the temperature dependence of the Raman active modes is almost linear with coefficients E g T cm K and A g T cm K Most of the temperature shift is associated with thermal expansion The pressure dependence is given by E g P cm GPa and A g P cm GPa We observe a reversible phase transition at GPa which as already has been shown to happen in Cu Ga O we relate to the existence of a dynamical instability
10.1103/PhysRevD.75.068302,2007-03-15,This is a reply to Rauscher Phys Rev D We studied heavy element production in the high baryon density region in the early universe Phys Rev D However it is claimed by Rauscher Phys Rev D that a small scale but high baryon density region contradicts observations for the light element abundance or in order not to contradict the observations the high density region must be so small that it cannot affect the present heavy element abundance In this paper we study big bang nucleosynthesis in the high baryon density region and show that in certain parameter spaces it is possible to produce enough of the heavy element without contradiction to cosmic microwave background and light element observations
10.1103/PhysRevC.75.031901,2007-03-20,We find that a simple extension of the coalescence model is sufficient to incorporate the perfect quark number scaling behavior of the elliptic flow in transverse kinetic energy recently discovered by the PHENIX Collaboration The flavor dependence of the elliptic flow can be consistently described in the low and intermediate p T if the transverse kinetic energy is conserved in the or parton coalescence process at the hadronization Thus suggesting the quark coalescence as a possible hadronization mechanism at low p T as well
10.1103/PhysRevE.75.051923,2007-05-30,We show that introducing periodic planar fronts with long excitation duration can lead to spiral attenuation The attenuation occurs periodically over cycles of several planar fronts forming a variety of complex spatiotemporal patterns We find that these attenuation patterns occur only at specific phases of the descending fronts relative to the rotational phase of the spiral These patterns fall into two general classes each defined by a specific expression for the number of attenuated spirals per cycle of planar fronts and represented by a structured diagram in parameter space The spiral attenuation patterns we observe remain stable in time and do not change during the evolution of the system
10.1103/PhysRevE.75.060901,2007-06-20,We present a model for predicting the spatial intensity correlation function of dynamic speckle patterns formed by light backscattered from turbid suspensions and an experimental validation of these predictions The spatial correlation varies remarkably with multiple scattering The provided computational scheme is a step towards correctly interpreting signals obtained from instruments based on the measurement of dynamic speckle patterns in the far field
10.1103/PhysRevE.75.061123,2007-06-27,We perform a time dependent study of the driven dynamics of overdamped particles that are placed in a one dimensional piecewise linear random potential This setup of spatially quenched disorder then exerts a dichotomous varying random force on the particles We derive the path integral representation of the resulting probability density function for the position of the particles and transform this quantity of interest into the form of a Fourier integral In doing so the evolution of the probability density can be investigated analytically for finite times It is demonstrated that the probability density contains both a singular contribution and a regular part While the former part plays a dominant role at short times the latter rules the behavior at large evolution times The slow approach of the probability density to a limiting Gaussian form as time tends to infinity is elucidated in detail
10.1103/PhysRevB.76.035207,2007-07-18,The band gap bowing in the Cu x Ag x Ga S chalcopyrite alloy is studied using the full potential linearized muffin tin orbital method combined with various structural models including so called special quasirandom structures The calculations confirm a large band gap bowing eV in agreement with recent experimental results It is found that the large bowing in part arises from a nonlinear behavior of the c a ratio with concentration Layered structures are found to have similar bowing to special quasirandom structures The nonlinear band gap behavior also leads to a nonlinear behavior of the index of refraction and the second order nonlinear optical susceptibility with concentration The maximum is found for a alloy and is calculated to be about pm V
10.1103/PhysRevB.76.014427,2007-07-23,Spectra of x ray absorption were measured at the L p and M d edges of Ce in multilayers Ce x Si x Fe x n x between and with single phase amorphous Ce x Si x sublayers The study uncovers the highly correlated nature of this layered system an phase like electronic configuration of Ce is observed which indicates considerable hybridization between the f and conduction band states This is at variance with single alloy films Ce x Si x which show a phase like Ce configuration already at x X ray magnetic circular dichroism measured at the L edges of Ce in the multilayers reveals magnetic order on the d electrons induced by the interaction with Fe at the interfaces With increasing the Si content the strength of the f conduction band hybridization is reduced which is reflected in a growing occupation of the Ce f states Variations of the line shape and intensity of the L edge dichroism spectra are very complex The spectra not only are related to the magnetic d polarization in the ground state but are largely controlled by the exchange interaction between the photoexcited d electron and the f electron which generates a spin dependent enhancement of the radial parts of the p to d matrix element The strength of the f d exchange interaction can be controlled by varying the composition of the Ce x Si x sublayers At high Si concentration and low temperature it induces a change in sign of the dichroic signal We present a detailed discussion within a simple phenomenological model
10.1103/PhysRevE.76.026310,2007-08-21,The rotation of a single spheroid in a planar Couette flow as a model for simple shear flow is numerically simulated with the distributed Lagrangian multiplier based fictitious domain method The study is focused on the effects of inertia on the orbital behavior of prolate and oblate spheroids The numerical orbits are found to be well described by a simple empirical model which states that the rate of the spheroid rotation about the vorticity axis is a sinusoidal function of the corresponding projection angle in the flow gradient plane and that the exponential growth rate of the orbit function is a constant The following transitions in the steady state with increasing Reynolds number are identified Jeffery orbit tumbling quasi Jeffery orbit log rolling and inclined rolling for a prolate spheroid and Jeffery orbit log rolling inclined rolling and motionless state for an oblate spheroid In addition it is shown that the orbit behavior is sensitive to the initial orientation in the case of strong inertia and there exist different steady states for certain shear Reynolds number regimes
10.1103/PhysRevB.76.235405,2007-12-05,First principles optimization of a alumina Al superlattice shows that the incompliant oxide causes substantial disorder in the adjacent soft metal layers A H probe atom is found to bind best in the disrupted metal region suggesting that this is the locus of initial failure of a protective oxide layer
10.1103/PhysRevB.77.033201,2008-01-11,Photoluminescence excitation spectroscopy of nitrogen vacancy NV centers in type Ib diamond nanocrystals shows that in spite of spectral diffusion and spin nonconserving transitions zero phonon linewidth as small as MHz which is nearly lifetime limited can be observed at low temperature Relatively small effects of spectral diffusion have also been observed in a small fraction of NV centers
